track_id,num_artists,artist_names,primary_artist,avg_artist_popularity,max_artist_popularity,min_artist_popularity,total_artist_followers,avg_artist_followers,max_artist_followers,artist_genres
29hVeHD64920MFf2oO6TFB,1,Lucky Luke,Lucky Luke,52.0,52,52,145588,145588.0,145588,slap house
4tELPC3XSTG4KXntjidNfZ,1,Tapps,Tapps,40.0,40,40,13432,13432.0,13432,"freestyle,disco,chicago house,hi-nrg,italo disco,italo dance"
2jukSXCni9myIF79PdgMZw,1,HOLYCHILD,HOLYCHILD,49.0,49,49,63903,63903.0,63903,
3HyMV2yCaI35Vy5Zddfe9H,1,Efrén Atienza,Efrén Atienza,1.0,1,1,410,410.0,410,"downtempo,organic house"
3kDNbgnKWe8rd7DL34tQwt,1,Gene Loves Jezebel,Gene Loves Jezebel,36.0,36,36,107590,107590.0,107590,"post-punk,deathrock,darkwave,gothic rock,new wave,synthpop"
4QEMi9FXOolfFFlLFUIolw,1,D-Block Europe,D-Block Europe,72.0,72,72,1783477,1783477.0,1783477,"uk drill,grime"
06wxsDleir1dIlqeNv6m2M,2,Olmos|Kyle Reynolds,Olmos,30.0,37,23,22121,11060.5,12917,
20s3FayrStM8GY0m4dRFsw,2,Eric B. & Rakim|Marley Marl,Eric B. & Rakim,44.5,50,39,797986,398993.0,731128,"old school hip hop,east coast hip hop,hip hop"
16VvTsMS2Uj0f4vnIILYu8,1,Tanya Montana Coe,Tanya Montana Coe,1.0,1,1,343,343.0,343,"americana,alt country"
36zqSzaPzQWZYDCNm1klgY,1,Alex G,Alex G,74.0,74,74,3517888,3517888.0,3517888,
0Tf9Mwk7DwysEajSNGa8n2,1,Ariana Grande,Ariana Grande,90.0,90,90,107199859,107199859.0,107199859,pop
3IdCZelObiTA5RJfQpmaRG,1,Ollie Wade,Ollie Wade,27.0,27,27,1879,1879.0,1879,
2vdBo4ALPYbHRUPKgtE5iC,1,Ariana Grande,Ariana Grande,90.0,90,90,107199859,107199859.0,107199859,pop
4pN4icvWINm9uN3bElfbec,2,Rauw Alejandro|Lary Over,Rauw Alejandro,75.5,88,63,36494759,18247379.5,30934687,"dembow,trap,latin,urbano latino,trap latino,reggaeton"
1eEcczoYRdCqV6uNwyuBi2,2,Party Favor|Georgia Ku,Party Favor,49.0,52,46,209576,104788.0,180400,edm trap
5h21AlYy4mgHfQp9jUAUGi,1,P$C,P$C,38.0,38,38,126132,126132.0,126132,southern hip hop
54rZW5jkApNTZ5FOqU10bU,2,ARMAN|Clavi,ARMAN,12.0,17,7,3476,1738.0,3313,tropical house
4LCYfudj0YePxgj0HbAnC9,1,Three 6 Mafia,Three 6 Mafia,63.0,63,63,1477283,1477283.0,1477283,"crunk,horrorcore,southern hip hop,gangster rap"
4UEuIEv9Wc3wtiWUplGJ7q,1,Bad Bunny,Bad Bunny,95.0,95,95,102018977,102018977.0,102018977,"latin,trap latino,urbano latino,reggaeton"
0wErDMQQMhwO1DTbE6kpkt,1,updog,updog,42.0,42,42,39443,39443.0,39443,
3KiexfmhxHvG5IgAElmTkd,1,The Beatles,The Beatles,82.0,82,82,30658114,30658114.0,30658114,"psychedelic rock,classic rock"
1UZxI3ng9Dk1HndwvahyxQ,1,Quinn Lewis,Quinn Lewis,27.0,27,27,31274,31274.0,31274,
2Ix5ordj9fc9QSurgrfZOu,1,Cole Bleu,Cole Bleu,9.0,9,9,2709,2709.0,2709,
3oWfGgTFdIT05HOEXfW9gu,1,Dirty Honkers,Dirty Honkers,21.0,21,21,15053,15053.0,15053,"electro swing,swing music,nu jazz"
66FltlEV09mPJYAyfYm8De,1,YNW Melly,YNW Melly,70.0,70,70,12705272,12705272.0,12705272,melodic rap
18uskcQGHADKwukSPngyYP,1,Kaspiyskiy Gruz,Kaspiyskiy Gruz,54.0,54,54,750151,750151.0,750151,
32Vm9SAaTKw2AHy2W1REP0,1,Big Bub,Big Bub,28.0,28,28,27503,27503.0,27503,"new jack swing,quiet storm"
2comgM8wcrT3UbA2DFk5UX,2,Issac Delgado|Gilberto Santa Rosa,Issac Delgado,54.0,67,41,3766860,1883430.0,3697612,"son cubano,merengue,timba,salsa"
0gnddNB2gbyN8VC7uqr6ns,1,ICEHOUSE,ICEHOUSE,52.0,52,52,396499,396499.0,396499,synthpop
4x67awdGDlWB3eIpQdkzqE,2,FSK SATELLITE|Guè,FSK SATELLITE,57.5,71,44,3265343,1632671.5,2973834,italian trap
4YaKdKVcrM6Gf5ZALtp0gI,3,Priceless|Frenna|Murda,Priceless,55.666666666666664,66,42,1872074,624024.6666666666,1197056,"turkish pop,turkish hip hop"
20VuO95A8RxUPlShnfYArW,1,Labi Siffre,Labi Siffre,58.0,58,58,309063,309063.0,309063,
5S7OgDkPpqVApvYR3pz75X,1,Threshold,Threshold,29.0,29,29,52722,52722.0,52722,"metal,progressive metal,progressive rock,power metal"
4IAd7Vdwcc1E86P15tXjca,2,Frank Walker|Astrid S,Frank Walker,55.5,62,49,1493095,746547.5,1379138,norwegian pop
7Az9kfq4JLD8auD1xoErrP,1,The Who,The Who,66.0,66,66,5816403,5816403.0,5816403,"rock,classic rock"
0hCB0YR03f6AmQaHbwWDe8,1,Led Zeppelin,Led Zeppelin,75.0,75,75,15937302,15937302.0,15937302,"rock,rock and roll,hard rock,classic rock"
7i9763l5SSfOnqZ35VOcfy,1,Twenty One Pilots,Twenty One Pilots,83.0,83,83,25736178,25736178.0,25736178,
4ojwGTehgBRAg52jbFgzJg,4,Mambo Kingz|DJ Luian|Luigi 21 Plus|Ozuna,Mambo Kingz,74.0,85,63,43835388,10958847.0,39298742,"trap latino,latin,reggaeton,urbano latino"
